ts_code,name,total_mv,circ_mv
000001.SZ,平安银行,21734628.384,21734272.784
000002.SZ,万科A,3758173.4925,3060834.8085
000006.SZ,深振业A,868046.785,868040.2264
000007.SZ,全新好,311803.2,311803.2
000008.SZ,神州高铁,638348.7595,638329.795
000009.SZ,中国宝安,1622325.606,1620316.8945
000010.SZ,*ST美丽,171298.1927,130085.195
000011.SZ,深物业A,449964.2205,397489.0025
000012.SZ,南玻A,1162223.0816,748458.9412
000014.SZ,沙河股份,234300.7216,234300.7216
000016.SZ,*ST康佳A,616434.0224,408728.0128
000017.SZ,深中华A,411443.3853,263170.734
000019.SZ,深粮控股,688063.5741,248475.2208
000020.SZ,深华发A,288258.1016,184426.3772
000021.SZ,深科技,6228206.8497,6227359.4745
000025.SZ,特力A,608654.3196,554602.9596
000026.SZ,飞亚达,645164.76,579651.513
000027.SZ,深圳能源,2997155.637,2997155.637
000028.SZ,国药一致,1245258.531,1069595.3754
000029.SZ,深深房A,1916084.04,1688804.04
000030.SZ,富奥股份,715441.3344,695096.9376
000031.SZ,大悦城,921557.3595,921555.5105
000032.SZ,深桑达A,1719478.7251,1610212.3161
000034.SZ,神州数码,2626238.3868,2193348.7674
000035.SZ,中国天楹,1136703.5652,1101000.2332
000036.SZ,华联控股,551700.7491,551371.6116
000037.SZ,深南电A,550322.2538,309423.1866
000039.SZ,中集集团,4454221.7678,1900962.2646
000042.SZ,中洲控股,523222.0757,522639.9318
000045.SZ,深纺织A,504495.7128,455193.7128
000048.SZ,京基智农,961257.6764,959625.9764
000049.SZ,德赛电池,941979.9314,941725.9701
000050.SZ,深天马A,1541845.9548,1541833.8645
000055.SZ,方大集团,356526.2344,224383.6608
000056.SZ,*ST皇庭,223497.8336,170805.5763
000058.SZ,深赛格,771962.8389,617431.6038
000059.SZ,华锦股份,729345.8256,729332.328
000060.SZ,中金岭南,2740203.4325,2740168.6954
000061.SZ,农产品,1125473.0004,1017374.904
000062.SZ,深圳华强,2239291.8113,2237131.1141
000063.SZ,中兴通讯,16278369.2647,13705994.9436
000065.SZ,北方国际,1049943.7488,881365.9192
000066.SZ,中国长城,4635473.3067,4635115.0626
000068.SZ,华控赛格,272807.9765,272807.9765
000069.SZ,华侨城A,1350343.3608,1158965.1024
000070.SZ,特发信息,1131515.9487,1116315.281
000078.SZ,ST海王,439397.5911,438411.0219
000088.SZ,盐田港,2277373.6854,1385343.9366
000089.SZ,深圳机场,1330949.4055,1330925.9766
000090.SZ,天健集团,605408.7096,605371.7736
000096.SZ,广聚能源,393360.0,380581.76
000099.SZ,中信海直,1075217.3586,1075217.3586
000100.SZ,TCL科技,10213223.4384,9876455.2782
000151.SZ,中成股份,325290.1401,285455.4669
000153.SZ,丰原药业,248606.7425,245494.6475
000155.SZ,川能动力,2337249.0678,2337249.0678
000156.SZ,华数传媒,1237758.91,1135517.1012
000157.SZ,中联重科,6520995.5408,5330530.8784
000158.SZ,常山北明,2028644.5923,2015059.8204
000159.SZ,国际实业,248514.662,248505.6145
000166.SZ,申万宏源,11543414.4145,10388868.8653
000301.SZ,东方盛虹,7629362.0742,7626062.3266
000333.SZ,美的集团,64995927.8893,58644882.2298
000338.SZ,潍柴动力,22628737.7514,12980791.9575
000400.SZ,许继电气,2218559.3694,2203485.4314
000401.SZ,金隅冀东,953556.773,944656.3373
000402.SZ,金融街,714354.2461,714288.2821
000403.SZ,派林生物,945645.3991,935980.4596
000404.SZ,长虹华意,523388.9168,520931.6064
000407.SZ,胜利股份,340592.7789,338924.8476
000408.SZ,藏格矿业,12458752.4268,12458621.4003
000409.SZ,云鼎科技,575336.2266,501312.3411
000410.SZ,沈阳机床,1268905.967,944117.7657
000411.SZ,英特集团,528698.7576,527656.8024
000415.SZ,渤海租赁,2591314.4247,2259630.9241
000417.SZ,合百集团,441414.4572,440929.565
000419.SZ,通程控股,254940.2863,254940.2863
000420.SZ,吉林化纤,902404.6661,902099.0652
000421.SZ,南京公用,302142.6582,302079.8538
000422.SZ,湖北宜化,1386670.4925,1348767.2925
000423.SZ,东阿阿胶,3327099.36,3321241.56
000425.SZ,徐工机械,10259020.3533,7884486.4936
000426.SZ,兴业银锡,5548861.875,5547517.1875
000428.SZ,华天酒店,373945.842,373945.842
000429.SZ,粤高速A,3138299.9561,1956298.1799
000430.SZ,张家界,505212.4896,231227.256
000488.SZ,ST晨鸣,564759.5904,325290.2016
000498.SZ,山东路桥,760696.58,710180.422
000501.SZ,武商集团,530604.963,530122.791
000503.SZ,国新健康,702124.0425,702111.8535
000504.SZ,南华生物,250487.5329,249803.9016
000505.SZ,京粮控股,396187.859,344647.2635
000506.SZ,招金黄金,1162201.2678,1161812.457
000507.SZ,珠海港,456188.5104,447567.832
000509.SZ,华塑控股,306914.608,306913.6928
000510.SZ,新金路,945576.5688,884437.9632
000513.SZ,丽珠集团,2709004.8672,1733394.5298
000514.SZ,渝开发,312195.27,312195.27
000516.SZ,国际医学,940336.6363,926025.8116
000517.SZ,荣安地产,589025.6625,461017.484
000518.SZ,四环生物,362403.7824,362396.5664
000519.SZ,中兵红箭,1917553.743,1917553.743
000520.SZ,凤凰航运,387627.9805,387627.9805
000521.SZ,长虹美菱,498483.1192,423611.2232
000523.SZ,红棉股份,506589.306,365744.2152
000524.SZ,岭南控股,581741.0648,581531.6164
000525.SZ,红太阳,595520.5845,508074.32
000526.SZ,学大教育,402385.3522,401105.497
000528.SZ,柳工,1742347.5023,1739927.3743
000529.SZ,广弘控股,266208.4224,259867.2864
000530.SZ,冰山冷热,401369.15,285655.5492
000531.SZ,穗恒运A,594640.1423,519464.6805
000532.SZ,华金资本,353326.0075,352138.4425
000533.SZ,顺钠股份,798583.296,791747.1744
000534.SZ,万泽股份,1270813.959,1253329.772
000536.SZ,华映科技,854704.1352,853790.175
000537.SZ,绿发电力,1541788.425,1541788.425
000538.SZ,云南白药,9176462.5518,9118196.4762
000539.SZ,粤电力A,2903407.052,1413128.9557
000541.SZ,佛山照明,747923.998,599250.9783
000543.SZ,皖能电力,1752285.3309,1752285.3309
000544.SZ,中原环保,704696.8935,704696.8935
000545.SZ,金浦钛业,241774.1095,241423.7595
000546.SZ,金圆股份,324279.3411,290526.0684
000547.SZ,航天发展,2265029.5811,2251784.5987
000548.SZ,湖南投资,207174.557,207174.557
000550.SZ,江铃汽车,1398406.68,839910.384
000551.SZ,创元科技,619973.507,619735.8688
000552.SZ,甘肃能化,1359361.4418,946356.629
000553.SZ,安道麦A,1199853.077,1121192.08
000554.SZ,泰山石油,295538.3931,222409.6712
000555.SZ,神州信息,1044078.715,1042855.812
000557.SZ,西部创业,526473.2667,526307.7482
000558.SZ,天府文旅,424154.6631,423977.2334
000559.SZ,万向钱潮,3477810.9616,3476751.8912
000560.SZ,我爱我家,515854.6971,512117.5278
000561.SZ,烽火电子,624685.2309,561226.8702
000563.SZ,陕国投A,1529077.1496,1529077.1496
000564.SZ,供销大集,2455896.6088,2052903.612
000565.SZ,渝三峡A,236741.3412,236741.3412
000566.SZ,海南海药,756363.8533,755996.8548
000567.SZ,海德股份,1106299.1286,1102873.5268
000568.SZ,泸州老窖,12805542.18,12798222.87
000570.SZ,苏常柴A,342260.8625,269510.8625
000571.SZ,新大洲A,487534.0071,472929.4682
000572.SZ,海马汽车,588779.867,587926.6098
000573.SZ,粤宏远A,224036.4906,222170.6448
000576.SZ,甘化科工,288908.9146,287185.7286
000581.SZ,威孚高科,1653203.547,1357578.063
000582.SZ,北部湾港,3093496.8505,2650766.4378
000586.SZ,汇源通信,203885.76,201514.26
000589.SZ,贵州轮胎,669942.1331,665511.7117
000590.SZ,古汉医药,193492.7296,193401.668
000591.SZ,太阳能,1725944.9818,1725301.032
000592.SZ,平潭发展,1108842.1792,1099263.0376
000593.SZ,德龙汇能,615769.427,615515.6544
000595.SZ,新能股份,616013.1124,616013.1124
000596.SZ,古井贡酒,4781187.0,3695787.0
000597.SZ,东北制药,652106.2171,644006.1078
000598.SZ,兴蓉环境,2154454.2814,2154165.2648
000599.SZ,青岛双星,1104287.1298,369167.4346
000600.SZ,建投能源,1539962.1776,930903.4686
000601.SZ,韶能股份,676922.3388,666613.86
000603.SZ,盛达资源,1660756.3458,1604786.3748
000605.SZ,渤海股份,189377.6682,189377.6682
000607.SZ,华媒控股,342964.3608,298256.2558
000608.SZ,阳光股份,465696.2214,462910.5396
000609.SZ,*ST中迪,273229.4928,265736.2279
000610.SZ,*ST西旅,127133.6223,126464.3055
000612.SZ,焦作万方,1255385.9682,1254291.9012
000615.SZ,*ST美谷,532672.8246,275730.013
000617.SZ,中油资本,8697750.4208,8697750.4208
000619.SZ,海螺新材,189702.584,154800.0
000620.SZ,盈新发展,1556030.975,1238013.432
000623.SZ,吉林敖东,2128693.812,2119920.37
000625.SZ,长安汽车,7246333.9936,6043328.6094
000626.SZ,远大控股,349065.8652,347057.2235
000628.SZ,高新发展,1297799.52,708207.0024
000629.SZ,钒钛股份,2824448.1312,2824295.0976
000630.SZ,铜陵有色,8152958.672,6774937.6768
000631.SZ,顺发恒能,660100.0287,660100.0287
000632.SZ,ST三木,139655.88,139644.48
000633.SZ,合金投资,186391.4976,186389.5616
000635.SZ,英力特,238056.6944,221559.1592
000636.SZ,风华高科,4997140.4427,4997138.2832
000637.SZ,茂化实华,183516.0162,128700.0229
000639.SZ,ST西王,162993.6431,162993.4468
000650.SZ,仁和药业,754566.6898,717616.9462
000651.SZ,格力电器,22853735.4233,22529798.5193
000652.SZ,泰达股份,510766.9,510377.875
000655.SZ,金岭矿业,389352.4908,389352.4908
000656.SZ,金科股份,1313002.7184,940831.276
000657.SZ,中钨高新,12299906.5512,7842153.8182
000659.SZ,珠海中富,356139.5925,356139.5925
000661.SZ,长春高新,3246367.4208,3180132.9868
000663.SZ,永安林业,166658.5305,151619.094
000665.SZ,湖北广电,428705.3615,428694.1646
000668.SZ,荣丰控股,270923.3055,270923.3055
000669.SZ,ST金鸿,232019.4008,232019.4008
000670.SZ,盈方微,563399.0217,553079.7513
000672.SZ,上峰材料,1250520.195,1250520.195
000676.SZ,智度股份,938542.954,937976.2325
000677.SZ,ST海龙,139964.4198,139964.4198
000678.SZ,襄阳轴承,365850.9928,365850.9928
000679.SZ,大连友谊,194594.4,194594.4
000680.SZ,山推股份,1609653.1171,1410650.1378
000681.SZ,视觉中国,1174167.7224,1133202.26
000682.SZ,东方电子,1555243.32,1555095.188
000683.SZ,博源化工,2330453.3505,2095504.224
000685.SZ,中山公用,1586617.3191,1347555.0339
000686.SZ,东北证券,1844276.8852,1844276.8852
000688.SZ,国城矿业,3286192.7321,3286180.8082
000690.SZ,宝新能源,1055305.6315,1054617.077
000691.SZ,亚太实业,439323.93,292882.62
000692.SZ,惠天热电,197681.043,197681.043
000695.SZ,滨海能源,295484.055,282809.28
000697.SZ,炼石航空,1182486.7901,553181.8831
000698.SZ,ST沈化,262244.608,251428.608
000700.SZ,模塑科技,951063.9544,951063.9544
000701.SZ,厦门信达,315443.7832,315176.3952
000702.SZ,正虹科技,166380.0,127984.608
000703.SZ,恒逸石化,5846990.166,5817656.547
000705.SZ,浙江震元,212502.4188,179329.9944
000707.SZ,双环科技,249089.5272,234599.7336
000708.SZ,中信特钢,7278002.7012,7277970.2562
000709.SZ,河钢股份,2150121.1888,2149765.7792
000710.SZ,贝瑞基因,281756.5558,262635.3303
000711.SZ,ST京蓝,1464649.4226,1181118.5926
000712.SZ,锦龙股份,746368.0,746146.5053
000713.SZ,国投丰乐,447801.1395,344462.415
000715.SZ,中兴商业,248599.916,223574.398
000716.SZ,黑芝麻,335786.2863,328132.9651
000717.SZ,中南股份,523550.6496,523489.176
000718.SZ,苏宁环球,564442.3704,424420.3428
000719.SZ,中原传媒,1283097.4398,836602.965
000720.SZ,新能泰山,429733.8072,429733.8072
000721.SZ,西安饮食,351809.4659,314076.8639
000722.SZ,湖南发展,718192.9673,583446.9605
000723.SZ,美锦能源,1545629.2722,1542706.776
000725.SZ,京东方A,20670735.024,19734860.8278
000726.SZ,鲁泰A,479070.0016,345351.189
000727.SZ,冠捷科技,996504.74,996504.74
000728.SZ,国元证券,3098282.309,3098282.309
000729.SZ,燕京啤酒,3486533.2378,3104383.4879
000731.SZ,四川美丰,315574.8925,315574.8925
000733.SZ,振华科技,2162923.1682,2162631.6141
