交易日期,股票代码,股票名称,买入价格,次日最高价,收益率,成功失败,single_pick_score,gain_4d,gain_5d,pct,turnover_pct,amount,ma_trend_score
2024-01-25,002052,同洲电子,2.46,2.58,4.88,成功,0.7917,21.78,18.84,5.13,0.18,3306200.0,0.3333
2024-01-26,600894,广日股份,5.0,5.12,2.4,失败,0.7281,19.33,8.7,3.95,0.85,53837400.0,0.3333
2024-02-07,688366,昊海生科,72.36,77.25,6.76,成功,0.8274,18.06,19.6,7.98,0.71,101215300.0,0.6667
2024-02-08,603010,万盛股份,9.42,9.64,2.34,失败,0.756,16.58,11.48,7.9,1.21,56362200.0,0.3333
2024-02-19,600817,宇通重工,6.93,6.94,0.14,失败,0.8376,26.69,13.98,6.94,0.58,24662300.0,0.3333
2024-02-20,688225,亚信安全,15.1,15.39,1.92,失败,0.9007,24.69,33.27,5.45,0.61,17003300.0,0.6667
2024-02-21,002656,摩登大道,1.46,1.53,4.79,成功,0.8679,20.66,20.66,5.04,0.59,5183500.0,0.6667
2024-02-22,300641,正丹股份,2.28,2.58,13.16,成功,0.8847,24.59,61.7,6.05,1.01,18530500.0,0.6667
2024-02-23,002309,中利集团,2.25,2.36,4.89,成功,0.8416,21.62,24.31,5.14,0.1,1979600.0,0.6667
2024-02-26,603117,万林物流,3.28,3.44,4.88,成功,0.8413,17.14,22.85,5.13,0.39,7987500.0,0.6667
2024-02-27,300641,正丹股份,2.81,2.92,3.91,成功,0.8436,30.7,34.45,6.44,1.02,21169100.0,0.6667
2024-03-01,600589,大位科技,3.85,3.95,2.6,成功,0.7222,12.9,11.27,4.62,1.42,78498700.0,1.0
2024-03-05,002656,摩登大道,1.81,1.9,4.97,成功,0.7667,17.53,11.73,5.23,1.38,14821000.0,1.0
2024-03-11,603001,奥康国际,4.61,4.77,3.47,成功,0.8095,15.25,14.68,5.25,0.64,12470000.0,1.0
2024-03-14,688070,纵横股份,34.98,37.3,6.63,成功,0.7292,18.02,24.04,5.33,1.91,57718500.0,1.0
2024-03-18,688456,有研粉材,26.41,27.18,2.92,成功,0.7857,19.29,23.07,8.55,1.9,51416100.0,1.0
2024-03-20,688456,有研粉材,27.54,28.72,4.28,成功,0.725,15.62,21.05,5.92,1.32,37586800.0,1.0
2024-03-21,002951,金时科技,5.31,5.63,6.03,成功,0.7292,18.79,20.68,5.99,1.11,28037300.0,1.0
2024-03-25,002951,金时科技,5.86,6.2,5.8,成功,0.8125,21.33,23.63,5.97,0.09,2561900.0,1.0
2024-04-01,688335,复洁科技,11.17,12.34,10.47,成功,0.7222,10.92,11.25,7.4,1.38,24079400.0,1.0
2024-04-02,688335,复洁科技,11.82,11.81,-0.08,失败,0.7611,19.64,17.38,5.82,1.55,28778700.0,1.0
2024-04-19,605183,确成股份,15.04,15.06,0.13,失败,0.7222,11.57,15.51,4.88,1.63,105907400.0,1.0
2024-04-22,688625,呈和科技,16.91,18.64,10.23,成功,0.716,12.36,8.19,4.19,0.35,10026600.0,0.6667
2024-04-24,688358,祥生医疗,28.7,29.64,3.28,成功,0.7407,14.66,14.02,3.99,1.12,38599600.0,0.6667
2024-04-25,000692,惠天热电,2.39,2.51,5.02,成功,0.7847,20.71,14.9,4.82,0.15,1900500.0,0.3333
2024-04-26,000692,惠天热电,2.51,2.64,5.18,成功,0.8156,21.26,26.77,5.02,1.16,15540900.0,0.6667
2024-04-29,688056,莱伯泰科,23.53,23.99,1.95,失败,0.8299,20.05,23.52,6.23,0.99,16538300.0,0.6667
2024-04-30,000839,国安股份,2.18,2.25,3.21,成功,0.7412,19.78,19.13,4.81,0.9,75531100.0,0.6667
2024-05-06,603001,奥康国际,4.4,4.56,3.64,成功,0.7799,18.28,18.6,5.26,0.82,15368900.0,0.6667
